id_Producto,Cantidad_de_repeticiones
25042,1
18830,1
15742,1
44469,1
9509,1
15468,1
2042,1
24396,1
21494,1
19490,1
11061,1
34334,1
34204,1
458,1
36220,1
28779,1
18060,1
21155,1
18291,1
31858,1
19465,1
2554,1
16761,1
35603,1
23598,1
19302,1
41479,1
43932,1
37300,1
5140,1
38219,1
14584,1
29497,1
38891,1
22480,1
18031,1
16844,1
41311,1
45207,1
18961,1
42278,1
8521,1
20025,1
43326,1
41269,1
38746,1
19297,1
9820,1
24823,1
43155,1
43630,1
35964,1
21369,1
18864,1
8588,1
26502,1
37216,1
26276,1
6654,1
42095,1
3024,1
44145,1
47291,1
46555,1
48233,1
47227,1
9483,1
3026,1
30689,1
10218,1
23960,1
4403,1
45426,1
28964,1
34856,1
17585,1
21779,1
46957,1
250,1
44994,1
2762,1
39454,1
21165,1
18043,1
20050,1
4270,1
2250,1
35621,1
25423,1
32872,1
27776,1
23111,1
2887,1
45196,1
44831,1
17587,1
40466,1
45828,1
45550,1
20467,1
5949,1
27155,1
5152,1
22383,1
42713,1
19716,1
1790,1
34542,1
30200,1
21835,1
33920,1
48824,1
27597,1
9956,1
1575,1
26435,1
5816,1
24855,1
33247,1
30093,1
23551,1
36565,1
6723,1
28474,1
32336,1
14562,1
34831,1
24987,1
14827,1
46110,1
4364,1
37481,1
17436,1
29475,1
10531,1
33366,1
6189,1
27911,1
31887,1
2600,1
12038,1
12447,1
7425,1
22813,1
37809,1
10072,1
3272,1
11493,1
3620,1
4433,1
19942,1
32890,1
791,1
376,1
18822,1
55,1
23221,1
16280,1
40654,1
35117,1
45021,1
45690,1
34535,1
38933,1
14380,1
49138,1
46693,1
23135,1
11550,1
29968,1
2068,1
31743,1
16,1
29143,1
28363,1
46358,1
8560,1
7174,1
15311,1
39095,1
46919,1
9026,1
18215,1
37045,1
17608,1
48922,1
36296,1
23146,1
37526,1
34240,1
29587,1
2851,1
30945,1
5608,1
29725,1
44127,1
14454,1
43917,1
3012,1
10001,1
29212,1
37846,1
13918,1
11715,1
15798,1
12978,1
27306,1
8240,1
1737,1
28975,1
11769,1
